title,description,reviews,ratings
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Read it Before Purchase*Awesome performance and nice features*delivery before the date its very goodand just next day instalation* Go for it i bought 1.2 ton 3 star at 27490 with 1000 discountbuy voltas its good and all the way Indian productREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Ac remote is damageREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice product.... Value for money.... The cooling is very good for a 150 sq/ft.......just in 20 mins it cools the room quite fastly and noise is very low..... The electrical consumption is also low.... Dont waste your money on other expensive brand like daikin and hitachi just go for this because in other brand u get 3 star rated ac and in this price you get a 5 star ac which is very value for money.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Best 1.5ton 4star inverter ac in this price range. Try to buy this product on offer , below 33K. I also have this 1.5ton 4star voltas another ac from 2019 model. But I found something new in this 2022 model. One thing is 2022 model has little more sound . Otherwise everything is very good.READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Super Fast cooling AC  .Very First Installation with in 20 hours .Happy For purchase Good Product .Thank You Voltas and also FlipkartREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"No Horizontal swimming facility, only vertical swimmingREAD MORE",3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice model Voltas ACREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,awesome productREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Installation  was not done on time. 5 days late Installation and also extra money is taken during Installation . AC Design and features are good.READ MORE,3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Doing very good job👌...... I love this product ❤️READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Overall good but installation was badREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"good cooling ,READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,NiceREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Excellent product 1.5 is good for  me.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Better go for carrier/Midea/Daikin/Blue Star , coz I according to my personal experience , am very much satisfied about the poor cooling of this device from voltas.My old AC of other brand cools much better and maintains temperature very neatly.READ MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,This product is very good 👍👍👍👍READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very bad productREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,No coolingREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Overall 4.5 star ⭐ awesome productREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"It is 1,5 ton ac ,but indoor unit is very smaller  look like just 1 ton ac and voltas company has not satisfactory customer care service. I give 3 star.READ MORE",2
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Best Ac at this price..READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,The product is very nice... I liked the product very much...Thank you Flipkart for this😌READ MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,goodREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Affordable price, but design is so old typeREAD MORE",3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Cools in a minute when temperature is around 45 degrees. Did not affect my electricity bill much. It was as per my calculation. I have a 5 star voltas as well and I can confidently state that this 4 star is comparable to its 5 star version.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Good productREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very low eb bill in Tamilnadu. I use this ac in last one year. My bimonthly eb bill is maximum Rs. 450 . All credits goes to Tata products.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Great AC ... Dont think much ... Just go for itREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Best quality ever , but there are some features  not available in remote.READ MORE",5
